Bairro;População;latitude;longitude
Santa Rosa;9;-5.0197571;-42.8296643
Redonda;72;-5.115882900000001;-42.7442571
Livramento;339;-5.0881968;-42.755246
Santa Luzia;560;-5.1333803;-42.8089356
Zoobotânico;624;-5.0456771;-42.778437
Embrapa;698;-5.032609799999999;-42.7930786
São Raimundo;703;-5.1015747;-42.77355559999999
Parque Juliana;714;-5.1713966;-42.7548124
Parque Jacinta;1056;-5.1698767;-42.7637913
Triunfo;1104;-5.1264503;-42.7967384
Tabajaras;1498;-5.008648099999999;-42.7711147
Itaperu;1565;-5.0469656;-42.8235685
Todos Os Santos;1740;-5.083944199999999;-42.7222724
Pio Xii;1766;-5.1161302;-42.8016176
Santa Lia;1853;-5.062619;-42.7528042
Olarias;2014;-5.041819299999999;-42.8381973
Comprida;2022;-5.118939399999999;-42.7674531
Verdecap;2120;-5.1147176;-42.7100546
Pirajá;2202;-5.0762713;-42.8284452
Frei Serafim;2214;-5.0867887;-42.7967384
Mafuá;2247;-5.079248499999999;-42.8162526
Árvores Verdes;2248;-5.0385487;-42.7282958
Morros;2249;-5.0314117;-42.7589084
Recanto das Palmeiras;2337;-5.084031;-42.7576877
Por Enquanto;2337;-5.0762817;-42.8040571
Beira Rio;2348;-5.1104012;-42.774776
Cabral;2423;-5.0824259;-42.8016176
Socopó;2427;-5.015078300000001;-42.7628748
Matinha;2427;-5.081305;-42.82505
Piçarra;2497;-5.0945183;-42.799178
Acarapé;2499;-5.0703293;-42.8284452
Tabuleta;2601;-5.1229721;-42.8028374
Vila Operária;2639;-5.075087;-42.8186914
Redenção;2667;-5.118715799999999;-42.7942986
Tancredo Neves;2766;-5.114569599999999;-42.7723351
Morro de Esperança;2767;-5.0715749;-42.8071062
Parque São João;2794;-5.1320001;-42.8016176
Cidade Nova;2898;-5.1110017;-42.7917849
Areias;2914;-5.1585231;-42.7959561
N S das Graças;3036;-5.100066;-42.8040571
Brasilar;3039;-5.1794223;-42.7579329
Flor de Campo;3065;-5.09727;-42.709393
Bom Jesus;3102;-5.0396412;-42.8162526
Marquês de Paranaguá;3130;-5.0756843;-42.81137469999999
Novo Uruguai;3158;-5.0579605;-42.7247156
Noivos;3226;-5.0849122;-42.783318
Poti Velho;3385;-5.036504799999999;-42.8286636
Catarina;4252;-5.1173857;-42.7801542
Distrito Industrial;4307;-5.151156299999999;-42.7979582
São Lourenço;4321;-5.126663799999999;-42.7692629
Morada de Sol;4402;-5.0693564;-42.7674531
Vermelha;4499;-5.1059031;-42.81088279999999
Alvorada;4507;-5.060427799999999;-42.8284452
São Francisco;4542;-5.031329299999999;-42.82113
Macaúba;4578;-5.110180400000001;-42.8016176
Alto Alegre;4583;-5.0387318;-42.8242144
Morada Nova;4614;-5.1241777;-42.7881985
Parque Poti;4656;-5.1114215;-42.7381512
Matadouro;4904;-5.0659708;-42.8333215
Memorare;4905;-5.04558;-42.8162526
Bom Princípio;4980;-5.121378;-42.713619
São Cristóvão;4982;-5.077779400000001;-42.77355559999999
Campestre;5107;-5.0674757;-42.75402510000001
Real Copagre;5205;-5.053499599999999;-42.8162526
Extrema;5226;-5.120683199999999;-42.7576695
Mafrense;5311;-5.041652300000001;-42.831872
Planalto;5315;-5.057563399999999;-42.778437
Ilhotas;5717;-5.0928572;-42.7907422
Aeroporto;6099;-5.071031700000001;-42.8208191
Buenos Aires;6284;-5.038023;-42.808594
Nova Brasília;6328;-5.050528600000001;-42.8284452
Saci;6556;-5.1367555;-42.8057913
Esplanada;6593;-5.2007093;-42.7515833
Jockey;6827;-5.070449099999999;-42.7903384
Piçarreira;6887;-5.061626899999999;-42.7650119
Colorado;7088;-5.0957447;-42.7357086
São Pedro;7104;-5.118382;-42.809109
Horto;7392;-5.0654895;-42.778437
Uruguai;7581;-5.0702077;-42.7450073
Iningá;7699;-5.0573179;-42.7947719
São João;8099;-5.0930737;-42.7762646
Vale de Gavião;8184;-5.0272194;-42.7391935
Centro;8223;-5.0903678;-42.8105988
Primavera;8230;-5.062708799999999;-42.8125942
Fátima;8236;-5.0682604;-42.7930786
Santa Isabel;8337;-5.0758876;-42.7576267
Três Andares;8490;-5.1112153;-42.7845814
Parque Piauí;8618;-5.1432492;-42.7876524
São Joaquim;8668;-5.0567632;-42.8369784
Santa Cruz;8899;-5.1599008;-42.7847041
Porto de Centro;9294;-5.043692699999999;-42.75402510000001
Cristo Rei;9502;-5.100304599999999;-42.7858569
Aroeiras;9603;-5.012161799999999;-42.7965211
Monte Castelo;9815;-5.1035403;-42.7979582
Satélite;10090;-5.0483496;-42.7576877
Renascença;10416;-5.0993138;-42.74059370000001
água Mineral;10586;-5.0481539;-42.8089356
Parque Ideal;10742;-5.0996064;-42.7491414
Verde Lar;10930;-5.0373472;-42.7344873
Samapi;11790;-5.0551862;-42.7589084
Lourival Parente;12013;-5.1299122;-42.7924607
Bela Vista;12345;-5.1333223;-42.77355559999999
São Sebastião;12511;-5.105174799999999;-42.7296017
Promorar;13821;-5.1481373;-42.7806058
Pedra Mole;13890;-5.025874;-42.778437
Santo Antônio;14021;-5.144256299999999;-42.7613499
Novo Horizonte;15252;-5.1106204;-42.7479203
Gurupi;16115;-5.0843919;-42.7344252
Vale Quem Tem;16292;-5.051086199999999;-42.7415527
Parque Brasil;16961;-5.00463;-42.8291433
Santa Maria;21923;-4.9873352;-42.83941610000001
Itararé;31857;-5.105397099999999;-42.7616738
Angelim;43092;-5.1823651;-42.7808776
